id,ts_code,name
0,000001.SZ,平安银行
1,000002.SZ,万科A
2,000004.SZ,国农科技
3,000005.SZ,世纪星源
4,000006.SZ,深振业A
5,000007.SZ,全新好
6,000008.SZ,神州高铁
7,000009.SZ,中国宝安
8,000010.SZ,美丽生态
9,000011.SZ,深物业A
10,000012.SZ,南玻A
11,000014.SZ,沙河股份
12,000016.SZ,深康佳A
13,000017.SZ,深中华A
14,000018.SZ,神州长城
15,000019.SZ,深粮控股
16,000020.SZ,深华发A
17,000021.SZ,深科技
18,000023.SZ,深天地A
19,000025.SZ,特力A
20,000026.SZ,飞亚达A
21,000027.SZ,深圳能源
22,000028.SZ,国药一致
23,000029.SZ,深深房A
24,000030.SZ,富奥股份
25,000031.SZ,中粮地产
26,000032.SZ,深桑达A
27,000034.SZ,神州数码
28,000035.SZ,中国天楹
29,000036.SZ,华联控股
30,000037.SZ,深南电A
31,000038.SZ,深大通
32,000039.SZ,中集集团
33,000040.SZ,东旭蓝天
34,000042.SZ,中洲控股
35,000043.SZ,中航善达
36,000045.SZ,深纺织A
37,000046.SZ,泛海控股
38,000048.SZ,*ST康达
39,000049.SZ,德赛电池
40,000050.SZ,深天马A
41,000055.SZ,方大集团
42,000056.SZ,皇庭国际
43,000058.SZ,深赛格
44,000059.SZ,华锦股份
45,000060.SZ,中金岭南
46,000061.SZ,农产品
47,000062.SZ,深圳华强
48,000063.SZ,中兴通讯
49,000065.SZ,北方国际
50,000066.SZ,中国长城
51,000068.SZ,华控赛格
52,000069.SZ,华侨城A
53,000070.SZ,特发信息
54,000078.SZ,海王生物
55,000088.SZ,盐田港
56,000089.SZ,深圳机场
57,000090.SZ,天健集团
58,000096.SZ,广聚能源
59,000099.SZ,中信海直
60,000100.SZ,TCL集团
61,000150.SZ,宜华健康
62,000151.SZ,中成股份
63,000153.SZ,丰原药业
64,000155.SZ,川能动力
65,000156.SZ,华数传媒
66,000157.SZ,中联重科
67,000158.SZ,常山北明
68,000159.SZ,国际实业
69,000166.SZ,申万宏源
70,000301.SZ,东方盛虹
71,000333.SZ,美的集团
72,000338.SZ,潍柴动力
73,000400.SZ,许继电气
74,000401.SZ,冀东水泥
75,000402.SZ,金融街
76,000403.SZ,振兴生化
77,000404.SZ,长虹华意
78,000407.SZ,胜利股份
79,000408.SZ,藏格控股
80,000409.SZ,*ST地矿
81,000410.SZ,沈阳机床
82,000411.SZ,英特集团
83,000413.SZ,东旭光电
84,000415.SZ,渤海租赁
85,000416.SZ,民生控股
86,000417.SZ,合肥百货
87,000418.SZ,小天鹅A
88,000419.SZ,通程控股
89,000420.SZ,吉林化纤
90,000421.SZ,南京公用
91,000422.SZ,*ST宜化
92,000423.SZ,东阿阿胶
93,000425.SZ,徐工机械
94,000426.SZ,兴业矿业
95,000428.SZ,华天酒店
96,000429.SZ,粤高速A
97,000430.SZ,张家界
98,000488.SZ,晨鸣纸业
99,000498.SZ,山东路桥
100,000501.SZ,鄂武商A
101,000502.SZ,绿景控股
102,000503.SZ,国新健康
103,000504.SZ,南华生物
104,000505.SZ,京粮控股
105,000506.SZ,中润资源
106,000507.SZ,珠海港
107,000509.SZ,华塑控股
108,000510.SZ,金路集团
109,000513.SZ,丽珠集团
110,000514.SZ,渝开发
111,000516.SZ,国际医学
112,000517.SZ,荣安地产
113,000518.SZ,四环生物
114,000519.SZ,中兵红箭
115,000520.SZ,长航凤凰
116,000521.SZ,长虹美菱
117,000523.SZ,广州浪奇
118,000524.SZ,岭南控股
119,000525.SZ,红太阳
120,000526.SZ,紫光学大
121,000528.SZ,柳工
122,000529.SZ,广弘控股
123,000530.SZ,大冷股份
124,000531.SZ,穗恒运A
125,000532.SZ,华金资本
126,000533.SZ,顺钠股份
127,000534.SZ,万泽股份
128,000536.SZ,华映科技
129,000537.SZ,广宇发展
130,000538.SZ,云南白药
131,000539.SZ,粤电力A
132,000540.SZ,中天金融
133,000541.SZ,佛山照明
134,000543.SZ,皖能电力
135,000544.SZ,中原环保
136,000545.SZ,金浦钛业
137,000546.SZ,金圆股份
138,000547.SZ,航天发展
139,000548.SZ,湖南投资
140,000550.SZ,江铃汽车
141,000551.SZ,创元科技
142,000552.SZ,靖远煤电
