,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,4.762,6.6,6.26,6.93,6.2,6.3,20439792.0,3.5485800000000003,135307974.0,50.382,2.239,380160.0,380160.0
1,603998,方盛制药,1.095,6.46,6.46,6.52,6.27,6.39,11672072.0,2.7451,74614214.0,46.143,2.659,282058.27712,274677.08112
2,603997,继峰股份,9.464,9.6,8.78,9.6,8.73,8.77,8710040.0,1.3825500000000002,81217342.0,20.87,3.378,613836.672,604800.0
3,603996,中新科技,-2.529,11.95,11.9,12.09,11.7,12.26,21413577.0,7.13429,254249376.0,24.388,2.284,358679.25,358679.25
4,603993,洛阳钼业,1.578,5.15,5.04,5.34,4.96,5.07,366359590.0,2.07384,1886848159.0,36.786,2.6950000000000003,11123608.900245,9097872.880245
5,603991,至正股份,2.748,21.31,20.7,21.44,20.52,20.74,2615780.0,6.36769,54987628.0,41.784,3.229,158834.080738,87539.174258
6,603990,麦迪科技,2.277,48.95,48.0,49.86,47.28,47.86,710201.0,1.17833,34278703.0,76.484,9.136,394707.49285,295031.44
7,603989,艾华集团,0.231,21.69,21.59,22.0,21.33,21.64,2380572.0,0.6104,51491840.0,22.361,4.652,845913.691638,845913.691638
8,603988,中电电机,2.32,12.35,12.86,12.86,12.13,12.07,16191004.0,6.88393,201792055.0,44.107,4.384,290472.0,290472.0
9,603987,康德莱,3.542,7.6,7.4,7.7,7.39,7.34,8512144.0,3.26206,64304799.0,20.0,2.589,335622.84,198317.1512
10,603986,兆易创新,-2.291,104.5,104.1,105.5,100.7,106.95,10303536.0,4.96802,1061284571.0,52.513,15.567,2974534.8996,2167300.52055
11,603985,恒润股份,-1.553,27.25,27.8,28.54,27.02,27.68,1423993.0,2.13941,39325073.0,21.533,2.649,283400.0,181376.0
12,603980,吉华集团,1.113,14.54,14.38,14.66,14.23,14.38,7919056.0,3.22394,114285656.0,16.467,1.7349999999999999,727000.0,357150.509952
13,603979,金诚信,3.258,9.19,8.85,9.22,8.81,8.9,8349095.0,1.43109,76007453.0,26.257,1.338,536152.349008,536152.349008
14,603978,深圳新星,-0.083,24.11,24.09,24.42,23.5,24.13,4221590.0,5.7881,101350790.0,15.357,2.819,385760.0,175847.92448
15,603977,国泰集团,-2.326,8.4,8.43,8.53,8.26,8.6,6718180.0,3.81819,56303055.0,27.097,2.657,328636.5432,147799.68
16,603976,正川股份,1.818,19.04,18.94,19.45,18.81,18.7,7242953.0,18.91114,138469833.0,20.923000000000002,2.964,287884.8,72923.081952
17,603970,中农立华,0.463,17.35,17.22,17.59,16.96,17.27,4790932.0,6.01875,82933167.0,19.741,3.303,277600.1388,138106.1388
18,603969,银龙股份,0.37,5.43,5.39,5.49,5.31,5.41,21995457.0,2.61539,118405920.0,18.1,2.74,456663.0,456663.0
19,603968,醋化股份,0.986,15.36,15.22,15.6,15.05,15.21,4533453.0,2.21706,69303180.0,19.443,2.246,314081.28,314081.28
20,603966,法兰泰克,1.021,10.88,11.12,11.55,10.6,10.77,6068862.0,6.52642,67096518.0,26.537,2.612,229545.8048,101172.145152
21,603963,大理药业,0.06,16.54,16.5,17.35,15.87,16.53,9136062.0,11.962110000000001,149992721.0,30.073,4.686,215020.0,126324.25
22,603960,克来机电,1.196,32.16,31.39,32.47,31.1,31.78,1375806.0,2.65556,43696751.0,63.059,9.33,434803.2,166615.904448
23,603959,百利科技,-2.79,21.25,21.87,21.88,20.9,21.86,8688343.0,5.83267,185386045.0,44.271,6.375,666400.0,316540.0
24,603958,哈森股份,1.444,9.13,9.0,9.2,8.92,9.0,5318222.0,8.05803,48302364.0,109.211,1.85,200774.77145,60257.083348
25,603956,威派格,10.011,19.34,19.34,19.34,19.34,17.58,266596.0,0.62587,5155967.0,69.071,9.817,823806.8334,82380.8574
26,603955,大千生态,-0.056,17.78,17.79,17.99,17.41,17.79,2253021.0,3.15902,39769788.0,18.511,1.842,201091.8,126807.338714
27,603939,益丰药房,-0.314,54.0,54.2,54.88,52.15,54.17,2569547.0,0.7084600000000001,137419763.0,62.5,5.795,2034752.4324,1958551.1532
28,603938,三孚股份,-0.906,20.79,21.14,21.14,20.4,20.98,3635900.0,7.15917,75355387.0,19.073,3.015,312196.3614,105585.3414
29,603937,丽岛新材,4.38,14.06,13.4,14.19,13.2,13.47,10514066.0,13.86015,145466982.0,24.241,2.274,293685.28,106656.724808
30,603936,博敏电子,0.16,18.73,18.55,18.88,18.3,18.7,4573589.0,2.73295,85151129.0,48.026,1.911,421476.217185,313446.55
31,603933,睿能科技,1.623,21.29,21.0,21.51,20.71,20.95,3669259.0,10.20997,77365124.0,13.534,2.9370000000000003,306018.202,76512.002
32,603929,亚翔集成,-0.221,18.09,18.0,18.28,17.68,18.13,8322929.0,8.61944,149375972.0,30.15,3.576,385968.24,174677.04
33,603928,兴业股份,0.658,15.3,15.19,15.4,15.03,15.2,5773715.0,9.19799,88036505.0,22.836,2.566,308448.0,96040.395
34,603926,铁流股份,5.822,17.45,16.5,17.51,16.36,16.49,2923661.0,4.49155,49990673.0,17.108,1.949,215751.8,113586.45089
